dataset,source_workbook,element_id,element_name,column_name,scale_id,rollup_rule
onet_abilities,onet_abilities.xlsx,1.A.2.a.1,Arm-Hand Steadiness,ability_arm_hand_steadiness__1_a_2_a_1,IM,mean of detailed O*NET occupations within six-digit SOC
onet_abilities,onet_abilities.xlsx,1.A.4.b.2,Auditory Attention,ability_auditory_attention__1_a_4_b_2,IM,mean of detailed O*NET occupations within six-digit SOC
onet_abilities,onet_abilities.xlsx,1.A.1.b.7,Category Flexibility,ability_category_flexibility__1_a_1_b_7,IM,mean of detailed O*NET occupations within six-digit SOC
onet_abilities,onet_abilities.xlsx,1.A.2.b.1,Control Precision,ability_control_precision__1_a_2_b_1,IM,mean of detailed O*NET occupations within six-digit SOC
onet_abilities,onet_abilities.xlsx,1.A.1.b.4,Deductive Reasoning,ability_deductive_reasoning__1_a_1_b_4,IM,mean of detailed O*NET occupations within six-digit SOC
onet_abilities,onet_abilities.xlsx,1.A.4.a.6,Depth Perception,ability_depth_perception__1_a_4_a_6,IM,mean of detailed O*NET occupations within six-digit SOC
onet_abilities,onet_abilities.xlsx,1.A.3.c.2,Dynamic Flexibility,ability_dynamic_flexibility__1_a_3_c_2,IM,mean of detailed O*NET occupations within six-digit SOC
onet_abilities,onet_abilities.xlsx,1.A.3.a.3,Dynamic Strength,ability_dynamic_strength__1_a_3_a_3,IM,mean of detailed O*NET occupations within six-digit SOC
onet_abilities,onet_abilities.xlsx,1.A.3.a.2,Explosive Strength,ability_explosive_strength__1_a_3_a_2,IM,mean of detailed O*NET occupations within six-digit SOC
onet_abilities,onet_abilities.xlsx,1.A.3.c.1,Extent Flexibility,ability_extent_flexibility__1_a_3_c_1,IM,mean of detailed O*NET occupations within six-digit SOC
onet_abilities,onet_abilities.xlsx,1.A.4.a.2,Far Vision,ability_far_vision__1_a_4_a_2,IM,mean of detailed O*NET occupations within six-digit SOC
onet_abilities,onet_abilities.xlsx,1.A.2.a.3,Finger Dexterity,ability_finger_dexterity__1_a_2_a_3,IM,mean of detailed O*NET occupations within six-digit SOC
onet_abilities,onet_abilities.xlsx,1.A.1.e.2,Flexibility of Closure,ability_flexibility_of_closure__1_a_1_e_2,IM,mean of detailed O*NET occupations within six-digit SOC
