soc_6digit,title,title_rollup_method,job_zone,job_zone_rollup_method,job_zone_had_conflict,job_zone_source_value_count
11-1011,Chief Executives,base_00,5,base_00,False,1
11-1021,General and Operations Managers,base_00,4,base_00,False,1
11-1031,Legislators,base_00,4,base_00,False,1
11-2011,Advertising and Promotions Managers,base_00,4,base_00,False,1
11-2021,Marketing Managers,base_00,4,base_00,False,1
11-2022,Sales Managers,base_00,4,base_00,False,1
11-2032,Public Relations Managers,base_00,4,base_00,False,1
11-2033,Fundraising Managers,base_00,4,base_00,False,1
11-3012,Administrative Services Managers,base_00,3,base_00,False,1
11-3013,Facilities Managers,base_00,3,base_00,True,2
11-3021,Computer and Information Systems Managers,base_00,4,base_00,False,1
11-3031,Financial Managers,base_00,4,base_00,True,2
11-3051,Industrial Production Managers,base_00,4,base_00,True,2
11-3061,Purchasing Managers,base_00,4,base_00,False,1
11-3071,"Transportation, Storage, and Distribution Managers",base_00,4,base_00,False,1
11-3111,Compensation and Benefits Managers,base_00,4,base_00,False,1
11-3121,Human Resources Managers,base_00,4,base_00,False,1
11-3131,Training and Development Managers,base_00,4,base_00,False,1
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",base_00,4,base_00,False,1
11-9021,Construction Managers,base_00,4,base_00,False,1
11-9031,"Education and Childcare Administrators, Preschool and Daycare",base_00,4,base_00,False,1
11-9032,"Education Administrators, Kindergarten through Secondary",base_00,5,base_00,False,1
11-9033,"Education Administrators, Postsecondary",base_00,5,base_00,False,1
11-9041,Architectural and Engineering Managers,base_00,5,base_00,True,2
11-9051,Food Service Managers,base_00,2,base_00,False,1
11-9071,Gambling Managers,base_00,2,base_00,False,1
11-9072,"Entertainment and Recreation Managers, Except Gambling",base_00,4,base_00,False,1
11-9081,Lodging Managers,base_00,4,base_00,False,1
11-9111,Medical and Health Services Managers,base_00,4,base_00,False,1
11-9121,Natural Sciences Managers,base_00,5,base_00,True,2
11-9131,Postmasters and Mail Superintendents,base_00,2,base_00,False,1
11-9141,"Property, Real Estate, and Community Association Managers",base_00,4,base_00,False,1
11-9151,Social and Community Service Managers,base_00,4,base_00,False,1
11-9161,Emergency Management Directors,base_00,4,base_00,False,1
11-9171,Funeral Home Managers,base_00,3,base_00,False,1
11-9179,Fitness and Wellness Coordinators,first_detail,3,detail_mode_tie_lower,True,2
11-9199,Regulatory Affairs Managers,first_detail,4,detail_mode,True,2
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",base_00,4,base_00,False,1
13-1021,"Buyers and Purchasing Agents, Farm Products",base_00,4,base_00,False,1
13-1022,"Wholesale and Retail Buyers, Except Farm Products",base_00,3,base_00,False,1
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",base_00,4,base_00,False,1
13-1031,"Claims Adjusters, Examiners, and Investigators",base_00,4,base_00,False,1
13-1032,"Insurance Appraisers, Auto Damage",base_00,3,base_00,False,1
13-1041,Compliance Officers,base_00,4,base_00,True,2
13-1051,Cost Estimators,base_00,4,base_00,False,1
13-1071,Human Resources Specialists,base_00,4,base_00,False,1
13-1074,Farm Labor Contractors,base_00,2,base_00,False,1
13-1075,Labor Relations Specialists,base_00,4,base_00,False,1
13-1081,Logisticians,base_00,4,base_00,False,1
13-1082,Project Management Specialists,base_00,4,base_00,False,1
13-1111,Management Analysts,base_00,4,base_00,False,1
13-1121,"Meeting, Convention, and Event Planners",base_00,4,base_00,False,1
13-1131,Fundraisers,base_00,4,base_00,False,1
13-1141,"Compensation, Benefits, and Job Analysis Specialists",base_00,4,base_00,False,1
13-1151,Training and Development Specialists,base_00,4,base_00,False,1
13-1161,Market Research Analysts and Marketing Specialists,base_00,4,base_00,False,1
13-1199,Business Continuity Planners,first_detail,4,detail_mode,False,1
13-2011,Accountants and Auditors,base_00,4,base_00,False,1
13-2022,Appraisers of Personal and Business Property,base_00,4,base_00,False,1
13-2023,Appraisers and Assessors of Real Estate,base_00,4,base_00,False,1
13-2031,Budget Analysts,base_00,4,base_00,False,1
13-2041,Credit Analysts,base_00,4,base_00,False,1
13-2051,Financial and Investment Analysts,base_00,4,base_00,False,1
13-2052,Personal Financial Advisors,base_00,4,base_00,False,1
13-2053,Insurance Underwriters,base_00,4,base_00,False,1
13-2054,Financial Risk Specialists,base_00,4,base_00,False,1
13-2061,Financial Examiners,base_00,4,base_00,False,1
13-2071,Credit Counselors,base_00,4,base_00,False,1
13-2072,Loan Officers,base_00,4,base_00,False,1
13-2081,"Tax Examiners and Collectors, and Revenue Agents",base_00,3,base_00,False,1
13-2082,Tax Preparers,base_00,3,base_00,False,1
13-2099,Financial Quantitative Analysts,first_detail,4,detail_mode_tie_lower,True,2
15-1211,Computer Systems Analysts,base_00,4,base_00,True,2
15-1212,Information Security Analysts,base_00,4,base_00,False,1
15-1221,Computer and Information Research Scientists,base_00,5,base_00,False,1
15-1231,Computer Network Support Specialists,base_00,4,base_00,False,1
15-1232,Computer User Support Specialists,base_00,3,base_00,False,1
15-1241,Computer Network Architects,base_00,4,base_00,True,2
15-1242,Database Administrators,base_00,4,base_00,False,1
15-1243,Database Architects,base_00,4,base_00,False,1
15-1244,Network and Computer Systems Administrators,base_00,4,base_00,False,1
15-1251,Computer Programmers,base_00,4,base_00,False,1
15-1252,Software Developers,base_00,4,base_00,False,1
15-1253,Software Quality Assurance Analysts and Testers,base_00,4,base_00,False,1
15-1254,Web Developers,base_00,3,base_00,False,1
15-1255,Web and Digital Interface Designers,base_00,4,base_00,False,1
15-1299,Web Administrators,first_detail,4,detail_mode,True,2
15-2011,Actuaries,base_00,4,base_00,False,1
15-2021,Mathematicians,base_00,5,base_00,False,1
15-2031,Operations Research Analysts,base_00,5,base_00,False,1
15-2041,Statisticians,base_00,5,base_00,False,1
15-2051,Data Scientists,base_00,4,base_00,False,1
15-2099,Bioinformatics Technicians,first_detail,4,detail_mode,False,1
17-1011,"Architects, Except Landscape and Naval",base_00,5,base_00,False,1
17-1012,Landscape Architects,base_00,4,base_00,False,1
17-1021,Cartographers and Photogrammetrists,base_00,4,base_00,False,1
17-1022,Surveyors,base_00,4,base_00,False,1
17-2011,Aerospace Engineers,base_00,4,base_00,False,1
17-2021,Agricultural Engineers,base_00,4,base_00,False,1
17-2031,Bioengineers and Biomedical Engineers,base_00,4,base_00,False,1
17-2041,Chemical Engineers,base_00,4,base_00,False,1
17-2051,Civil Engineers,base_00,4,base_00,False,1
17-2061,Computer Hardware Engineers,base_00,4,base_00,False,1
17-2071,Electrical Engineers,base_00,4,base_00,False,1
17-2072,"Electronics Engineers, Except Computer",base_00,4,base_00,False,1
17-2081,Environmental Engineers,base_00,4,base_00,False,1
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",base_00,4,base_00,False,1
17-2112,Industrial Engineers,base_00,4,base_00,True,2
17-2121,Marine Engineers and Naval Architects,base_00,4,base_00,False,1
17-2131,Materials Engineers,base_00,4,base_00,False,1
17-2141,Mechanical Engineers,base_00,4,base_00,False,1
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",base_00,4,base_00,False,1
17-2161,Nuclear Engineers,base_00,4,base_00,False,1
17-2171,Petroleum Engineers,base_00,4,base_00,False,1
17-2199,"Energy Engineers, Except Wind and Solar",first_detail,4,detail_mode,True,2
17-3011,Architectural and Civil Drafters,base_00,3,base_00,False,1
17-3012,Electrical and Electronics Drafters,base_00,3,base_00,False,1
17-3013,Mechanical Drafters,base_00,3,base_00,False,1
17-3021,Aerospace Engineering and Operations Technologists and Technicians,base_00,3,base_00,False,1
17-3022,Civil Engineering Technologists and Technicians,base_00,3,base_00,False,1
17-3023,Electrical and Electronic Engineering Technologists and Technicians,base_00,3,base_00,False,1
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,base_00,3,base_00,False,1
17-3025,Environmental Engineering Technologists and Technicians,base_00,4,base_00,False,1
17-3026,Industrial Engineering Technologists and Technicians,base_00,3,base_00,True,2
17-3027,Mechanical Engineering Technologists and Technicians,base_00,3,base_00,False,1
17-3028,Calibration Technologists and Technicians,base_00,3,base_00,False,1
